Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Simple Factor Model Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 09/09  10:00:00,24.258333333333336,18.533333333333335,20.386526291364643,0.013429530180287606,70.66666666666667,101354.16666666667,1.7666666666666666,9.583333333333334,17.70359214598409,405.75,316.0,155.5,0.0,0.0,85.2879354470957,18.0,13.0,16.0,24.26,8.416666666666666,5.0,58567.85546778114,1.1623315891032269,116.38710263085413,44.34850987983015,40.10314087465881,0.0,0.0,38187.85090968151,9815.819363356813,13824.828978080788,120.69446135119126,89.04580761256983,1.3238051399551622,0.33988132013313394,0.0,7.0,27.032694696969156 
 09/09  11:00:00,25.90833333333333,18.758333333333333,21.016257662834764,0.013610204666490405,64.91666666666667,101350.0,1.6333333333333335,13.416666666666666,17.50916110430639,404.6666666666667,368.25,309.25,0.0,0.0,124.22827021332482,18.0,13.0,16.0,24.26,6.25,5.0,60727.55193378837,1.155544342318921,132.99022978580092,54.857854741703534,25.10314087465881,0.0,0.0,46141.261942784586,22303.309646662947,27273.3412260584,125.34207690393232,88.18793095532256,1.6773179610538964,0.3384012263755191,0.0,7.0,27.032694696969156 
 09/09  12:00:00,27.05,17.516666666666666,20.61309593899101,0.012579943541429184,56.166666666666664,101320.83333333333,1.3,75.5,16.15176735840126,397.1666666666667,440.1666666666667,278.0833333333333,0.0,0.0,137.17105109787016,18.0,13.0,16.0,24.26,4.416666666666667,5.0,59275.01823883216,1.152683693373768,158.26378778529605,62.11157381318438,10.103140874658813,0.0,0.0,53437.94370585942,22096.540405545926,25007.01066388046,121.41742882657813,89.92977430708946,1.5643005041215838,0.37432726992909887,0.0,7.0,27.032694696969156 
 09/09  13:00:00,27.708333333333332,17.241666666666667,20.667326957400153,0.012385405152599652,53.166666666666664,101276.66666666667,1.3,139.25,16.876159895250556,401.1666666666667,414.1666666666667,294.0,0.0,0.0,135.38260436530808,18.0,13.0,16.0,24.26,4.583333333333333,5.0,59455.65436409774,1.1500132555592908,190.81123918819557,63.34297804546926,-4.896859125341187,0.0,0.0,50495.07228769252,23764.302952423972,26590.357468616476,121.92895802474844,90.44095239594442,1.6425707451599507,0.34825296676289313,0.0,7.0,27.032694696969156 
 09/09  14:00:00,28.525000000000002,18.516666666666666,21.70173542553965,0.01350565350575065,55.166666666666664,101248.33333333333,1.3,158.0,20.087812042041264,419.25,386.75,240.83333333333334,0.0,0.0,118.28383132726778,18.0,13.0,16.0,24.26,6.75,5.0,63156.21413612062,1.1445585511560934,219.37034226484585,57.87932199032587,-19.89685912534119,0.0,0.0,47445.968307065436,18234.443428603343,21456.180453846868,122.61715817520117,89.10195761472205,1.5242585939280533,0.3431476011167196,0.0,7.0,27.032694696969156 
 09/09  15:00:00,28.316666666666666,18.75,21.767630703555117,0.013690200676964312,56.583333333333336,101222.5,0.9500000000000001,144.58333333333334,21.91234569245943,429.75,276.0,75.16666666666667,0.0,0.0,66.63632510445456,18.0,13.0,16.0,24.26,9.166666666666666,5.0,63412.816586253415,1.1447243081249303,238.60245270158762,48.223497388398194,-34.89685912534119,0.0,0.0,32727.854933210776,5123.322512568325,6734.861731653828,118.35949185854935,89.6107788190286,1.1886376433089554,0.27669218064279516,0.0,7.0,27.032694696969156 
 09/09  16:00:00,27.84166666666667,18.908333333333335,21.72594928430679,0.013830552582151061,58.75,101210.0,0.7000000000000001,213.75,22.326350301203302,432.1666666666667,107.91666666666667,5.833333333333332,0.0,0.0,22.348645105799005,18.0,13.0,16.0,24.26,10.0,5.0,63281.61063894091,1.146134993934628,251.529963720542,36.6469198828207,-49.89685912534119,0.0,0.0,12996.525088250623,299.2909895185475,454.61582638245255,120.84865545248033,57.122499954206724,1.0228704080572415,0.1337197162789853,0.0,7.0,27.032694696969156 
 09/09  17:00:00,27.15833333333333,18.441666666666666,21.24669542548544,0.013431490063769062,59.416666666666664,101233.33333333333,2.6833333333333336,283.4166666666667,22.06947952577525,430.6666666666667,46.083333333333336,0.0,0.0,0.0,9.216666666666667,18.0,13.0,16.0,24.26,10.0,5.0,61559.41819754974,1.1497316787809677,261.2451090691758,24.2444468661735,-64.89685912534118,0.0,0.0,5657.610532252671,0.0,0.0,122.85353873691452,36.188429577924985,0.999999121304057,0.08283990780254681,0.0,7.0,27.032694696969156 
 09/09  18:00:00,25.883333333333336,18.599999999999998,20.977840336029157,0.013581247199526547,64.83333333333333,101255.83333333333,3.341666666666667,305.8333333333333,21.078695525092627,424.9166666666667,15.833333333333334,0.0,0.0,0.0,3.166666666666666,18.0,13.0,16.0,24.26,10.0,5.0,60627.757129666694,1.154617607719739,269.5006165937976,11.525081963968054,-79.89685912534118,0.0,0.0,1957.4896576129715,0.0,0.0,123.50460082467127,5.470760550952799,0.9999981267473329,0.05775826452269362,0.0,7.0,27.032694696969156 
 09/09  19:00:00,25.24166666666667,19.391666666666666,21.207952182036404,0.014168500440739579,70.16666666666667,101289.16666666667,2.8000000000000003,302.1666666666667,20.471523938356835,421.4166666666667,2.25,0.0,0.0,0.0,0.45,18.0,13.0,16.0,24.26,10.0,5.0,61463.22950405925,1.1564113022421039,277.3469132097511,-1.2139217689159547,-94.89685912534121,0.0,0.0,268.0127174235212,0.0,0.0,39.65220285349023,0.0,0.33333225342822587,0.026162947546316307,0.0,7.0,27.032694696969156 
 09/09  20:00:00,24.90833333333333,19.366666666666667,21.11069800282524,0.014163379275900815,71.58333333333333,101339.16666666667,2.8000000000000003,319.25,20.398931575862036,421.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,24.26,10.0,5.0,61106.481124547754,1.1582858033703973,285.5986491478024,-13.721632931808182,-109.89685912534118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.032694696969156 
 09/09  21:00:00,24.525000000000002,19.433333333333334,21.067816683731653,0.014257752958102193,73.75,101377.5,2.3916666666666666,290.8333333333333,20.398931575862036,421.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,24.26,10.0,5.0,60951.492532044045,1.160043659623344,295.1233456676334,-25.68876037266749,-124.89685912534118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.032694696969156 
