Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Simple Factor Model Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 03/26  02:00:00,4.441666666666666,0.09999999999999999,2.561677586631569,0.003796416863302926,73.0,100966.66666666667,1.2,125.83333333333333,-4.802957837175882,294.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.05,10.0,5.0,13989.121896053266,1.2596413969596572,37.33965392471611,-38.08609325124278,151.4198902239341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.337460535094353 
 03/26  03:00:00,4.283333333333334,0.2750000000000001,2.539464495854944,0.003846195750251753,74.75,100926.66666666667,0.9083333333333335,174.66666666666666,-4.802957837175882,294.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.05,10.0,5.0,13953.791720245172,1.2597607784024591,52.90947839393135,-30.333472093187527,136.4198902239341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.337460535094353 
 03/26  04:00:00,3.966666666666667,0.39999999999999997,2.413978836488012,0.003885688140797785,77.16666666666667,100869.16666666667,0.9916666666666667,163.33333333333334,-4.936189305876231,293.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.05,10.0,5.0,13732.391013194996,1.2604023530975967,65.8995589629575,-20.921918894667204,121.41989022393409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.337460535094353 
 03/26  05:00:00,3.5083333333333333,0.39999999999999997,2.160877372941007,0.0038896299297749965,79.75,100828.33333333333,0.9083333333333335,148.41666666666666,-5.432898983236186,291.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,1.05,10.0,5.0,13278.411451462302,1.2619715924207968,77.18553830952827,-10.552798876673494,106.41989022393409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.337460535094353 
 03/26  06:00:00,3.008333333333333,0.39999999999999997,1.8880816273385224,0.0038958509802105444,82.75,100825.83333333333,0.7000000000000001,184.25,-5.855006126328656,289.4166666666667,15.333333333333334,0.16666666666666666,0.0,0.0,3.0687745913829025,18.0,13.0,16.0,1.05,10.0,5.0,12787.969933563312,1.2642126072587654,87.61964457911377,0.28203482262235857,91.41989022393409,0.0,0.0,1644.3112817783428,0.0,0.0,53.46249916347217,0.0,0.5011293059936982,0.1738732508225046,0.0,1.0,8.337460535094353 
 03/26  07:00:00,2.975,0.39999999999999997,1.8620479699830197,0.003890960054971132,82.83333333333333,100818.33333333333,0.7000000000000001,215.83333333333334,-5.951238527387829,289.0,74.08333333333333,40.75,0.0,0.0,16.848786659304,18.0,13.0,16.0,1.05,10.0,5.0,12741.97463929479,1.2642808374091568,97.97739182732619,11.199493783939195,76.41989022393409,0.0,0.0,8469.070857592438,823.2103136421075,3283.930747615621,113.42985399109064,46.562815886654455,1.1234983698469798,0.267295498745449,0.0,1.0,8.337460535094353 
 03/26  08:00:00,3.5666666666666664,0.5750000000000001,2.2892938651829895,0.003960152490169386,80.83333333333333,100810.0,1.05,243.75,-7.725875477692189,281.4166666666667,154.16666666666666,275.0833333333333,0.0,0.0,52.065613152714825,18.0,13.0,16.0,1.05,8.25,5.0,13514.30514592604,1.261334646859921,109.04554897707408,21.82739875325039,61.41989022393409,0.0,0.0,18452.19115406571,9754.640969006718,25195.74237223023,119.44429145064878,90.77624400032005,1.6491963484066108,0.30016393599992935,0.0,1.0,8.337460535094353 
 03/26  09:00:00,4.599999999999999,0.7000000000000001,2.9129333310432557,0.003998795978147592,75.91666666666667,100792.5,1.2416666666666667,13.416666666666666,-11.566139275260696,265.5,204.75,485.6666666666667,0.0,0.0,91.74589688559763,18.0,13.0,16.0,1.05,5.25,5.0,14657.201393514964,1.256347397379652,121.73356417726443,31.703191501624616,46.41989022393406,0.0,0.0,25268.504321737422,24633.612933045562,47054.71150317237,123.96651715693162,96.98722138584996,2.1529552260611893,0.28073706537405313,0.0,1.0,8.337460535094353 
 03/26  10:00:00,5.1000000000000005,0.525,3.0793710907901133,0.003919838532182014,71.83333333333333,100774.16666666667,1.6083333333333334,9.583333333333334,-12.548946701276407,261.5,327.5833333333333,241.25,0.0,0.0,96.30084841202643,18.0,13.0,16.0,1.05,4.583333333333333,5.0,14965.127576256224,1.2540178743016341,137.098957188093,40.15258374592226,31.41989022393406,0.0,0.0,37044.277358558444,15454.152765000668,24222.81239192475,113.15328112045262,100.39004766800979,1.4432590144799755,0.36724827470906796,0.0,1.0,8.337460535094353 
 03/26  11:00:00,5.333333333333333,0.39999999999999997,3.143043141749645,0.003873288438934202,69.83333333333333,100758.33333333333,1.9000000000000001,0.0,-9.237288807798421,275.0833333333333,410.25,138.25,0.0,0.0,101.95893114404282,18.0,13.0,16.0,1.05,6.75,5.0,15084.409840432258,1.2528637213337495,155.9800092387047,46.18994360770043,16.419890223934065,0.0,0.0,45998.502973585964,9991.52198075664,13876.72712205675,112.1205354932229,100.36244364175776,1.2305918037186645,0.4116257140220059,0.0,1.0,8.337460535094353 
